Facility Category,Name of Building/Facility,Address of Building/Facility,建築物/設施名稱,建築物/設施名稱.1,Country Park/Special Area,郊野公園/特別地區,Telephone,聯絡電話,Website,網頁,Latitude Decimal Degree(DD.DDD),Longitude Decimal Degree(DD.DDD),Service Hours (From),Service Hours (To)
Country Park Toilet Locations,"Toilet (Near Sham Tseng Picnic Site No. 7, So Kwun Wat)","Near Sham Tseng Picnic Site No. 7, So Kwun Wat",廁所(掃管笏 近深井郊遊場地7號),掃管笏 近深井郊遊場7號,TAI LAM COUNTRY PARK,大欖郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.37813,113.99486,0:00,24:00:00
Country Park Toilet Locations,"Toilet (Fu Tei Barbecue Site No. 1, near Fu Tei Road)","Fu Tei Barbecue Site No. 1, near Fu Tei Road",廁所(近富地路 虎地燒烤場地1號 ),近富地路 虎地燒烤場地1號,TAI LAM COUNTRY PARK,大欖郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.40696,113.98858,0:00,24:00:00
Country Park Toilet Locations,"Toilet (Sham Tseng Barbecue Site No. 1, Sham Tseng Settlement Basin)","Sham Tseng Barbecue Site No. 1, Sham Tseng Settlement Basin",廁所(深井沉澱塘 深井燒烤場地1號),深井沉澱塘 深井燒烤場地1號,TAI LAM COUNTRY PARK,大欖郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.37146,114.05373,0:00,24:00:00
Country Park Toilet Locations,Toilet (Yung Shue O Picnic Site),Yung Shue O Picnic Site,廁所 (榕樹澳郊遊場地),榕樹澳郊遊場地,SAI KUNG WEST COUNTRY PARK,西貢西郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.41634,114.27582,0:00,24:00:00
Country Park Toilet Locations,Toilet (Yuen Ng Fan (Nam Fung Wan) Campsite),Yuen Ng Fan (Nam Fung Wan) Campsite,廁所 (南風灣營地),南風灣營地,SAI KUNG EAST COUNTRY PARK,西貢東郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.37752,114.33219,0:00,24:00:00
Country Park Toilet Locations,"Toilet (Sham Tseng Picnic Site No. 3, Sham Tseng Settlement Basin)","Sham Tseng Picnic Site No. 3, Sham Tseng Settlement Basin",廁所(深井沉澱塘 深井郊遊場3號),深井沉澱塘 深井郊遊場3號,TAI LAM COUNTRY PARK,大欖郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.37195,114.04922,0:00,24:00:00
Country Park Toilet Locations,Toilet (Junction of Tai Lam Nature Trail and Siu Lam Mountain Bike Trail),Junction of Tai Lam Nature Trail and Siu Lam Mountain Bike Trail,廁所(大欖自然教育徑 及 小欖越野單車徑 交界),大欖自然教育徑 及 小欖越野單車徑 交界,TAI LAM COUNTRY PARK,大欖郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.38747,114.0416,0:00,24:00:00
Country Park Toilet Locations,"Toilet (Tai Tong Barbecue Site No. 1, Tai Tong Shan Road)","Tai Tong Barbecue Site No. 1, Tai Tong Shan Road",廁所(大棠山道 大棠燒烤場地1號),大棠山道 大棠燒烤場地1號,TAI LAM COUNTRY PARK,大欖郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.40975,114.03283,0:00,24:00:00
Country Park Toilet Locations,Toilet (Sham Tseng Picnic Site No. 6; Halfway along Tai Lam Nature Trail),Sham Tseng Picnic Site No. 6; Halfway along Tai Lam Nature Trail,廁所(深井郊遊場地6號；大欖自然教育徑 中間位),深井郊遊場地6號；大欖自然教育徑 中間位,TAI LAM COUNTRY PARK,大欖郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.38065,114.0476,0:00,24:00:00
Country Park Toilet Locations,"Toilet (Tai Tong Barbecue Site No. 1 Kiosk, Tai Tong Shan Road)","Tai Tong Barbecue Site No. 1 Kiosk, Tai Tong Shan Road",廁所(大棠山道 大棠燒烤場地1號小食亭),大棠山道 大棠燒烤場地1號小食亭,TAI LAM COUNTRY PARK,大欖郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.40948,114.03139,0:00,24:00:00
