Facility Category,Country Park/Special Area,Latitude,Longitude
Refreshment Kiosk,ABERDEEN COUNTRY PARK,22.25574,114.157065
Refreshment Kiosk,CLEAR WATER BAY COUNTRY PARK,22.292916,114.298633
Refreshment Kiosk,PLOVER COVE COUNTRY PARK,22.470021,114.230618
Refreshment Kiosk,SAI KUNG WEST COUNTRY PARK,22.399119,114.316708
Refreshment Kiosk,SHING MUN COUNTRY PARK,22.386267,114.14102
Refreshment Kiosk,TAI LAM COUNTRY PARK,22.411037,114.029011
Refreshment Kiosk,TAI MO SHAN COUNTRY PARK,22.406691,114.103382
Refreshment Kiosk,TAI MO SHAN COUNTRY PARK,22.407497,114.104018
